26,15,15
27,16,16
2,1,1
6,2,2
7,3,3
8,4,4
12,5,5
13,6,6
14,7,7
15,8,8
16,9,9
17,10,10
21,11,11
22,12,12
23,13,13
26,15,15
27,16,16
4,1,1
5,2,2
6,3,3
7,4,4
11,5,5
12,6,6
13,7,7
17,8,8
18,9,9
19,10,10
21,11,11
22,12,12
23,13,13
26,15,15
27,16,16
1,1,1
2,2,2
6,3,3
7,4,4
9,5,5
10,6,6
11,7,7
15,8,8
16,9,9
17,10,10
21,11,11
22,12,12
23,13,13
26,15,15
27,16,16
1,1,1
5,2,2
9,3,3
10,4,4
11,5,5
12,6,6
13,7,7
14,8,8
15,9,9
16,10,10
18,11,11
22,12,12
23,13,13
26,15,15
27,16,16
1,1,1
2,2,2
3,3,3
5,4,4
9,5,5
10,6,6
14,7,7
15,8,8
16,9,9
17,10,10
18,11,11
22,12,12
23,13,13
26,15,15
27,16,16
1,1,1
5,2,2
9,3,3
10,4,4
11,5,5
13,6,6
14,7,7
15,8,8
19,9,9
20,10,10
21,11,11
22,12,12
23,13,13
26,15,15
27,16,16
1,1,1
2,2,2
3,3,3
4,4,4
8,5,5
9,6,6
13,7,7
15,8,8
16,9,9
17,10,10
21,11,11
22,12,12
23,13,13
24,15,15
27,16,16
1,1,1
2,2,2
3,3,3
4,4,4
7,5,5
12,6,6
13,7,7
17,8,8
18,9,9
22,10,10
24,12,12
26,13,13
27,15,15
1,1,1
2,2,2
3,3,3
6,4,4
11,5,5
15,6,6
16,7,7
17,8,8
18,9,9
22,10,10
24,12,12
26,13,13
27,15,15
1,1,1
2,2,2
7,3,3
8,4,4
12,5,5
15,6,6
16,7,7
20,8,8
21,9,9
22,10,10
25,12,12
26,13,13
27,15,15
1,1,1
6,2,2
7,3,3
8,4,4
9,5,5
12,6,6
16,7,7
17,8,8
21,9,9
22,10,10
25,12,12
26,13,13
27,15,15
1,1,1
2,2,2
3,3,3
7,4,4
12,5,5
16,6,6
17,7,7
20,8,8
21,9,9
22,10,10
23,12,12
26,13,13
27,15,15
1,1,1
4,2,2
9,3,3
10,4,4
11,5,5
15,6,6
19,7,7
20,8,8
21,9,9
22,10,10
24,12,12
26,13,13
27,15,15
1,1,1
2,2,2
5,3,3
6,4,4
7,5,5
8,6,6
12,7,7
13,8,8
17,9,9
22,10,10
25,12,12
26,13,13
27,15,15
1,1,1
2,2,2
3,3,3
6,4,4
10,5,5
11,6,6
12,7,7
16,8,8
17,9,9
22,10,10
23,12,12
26,13,13
27,15,15
1,1,1
2,2,2
3,3,3
7,4,4
10,5,5
15,6,6
16,7,7
20,8,8
21,9,9
22,10,10
25,12,12
26,13,13
27,15,15
1,1,1
4,2,2
5,3,3
6,4,4
7,5,5
11,6,6
12,7,7
16,8,8
21,9,9
22,10,10
23,12,12
26,13,13
27,15,15
6,1,1
7,2,2
10,3,3
15,4,4
16,5,5
17,6,6
18,7,7
22,8,8
23,9,9
24,10,10
26,12,12
27,13,13
6,1,1
9,2,2
10,3,3
14,4,4
15,5,5
16,6,6
17,7,7
18,8,8
23,9,9
24,10,10
25,12,12
26,13,13
27,15,15
5,1,1
6,2,2
7,3,3
13,4,4
16,5,5
17,6,6
18,7,7
19,8,8
23,9,9
24,10,10
25,12,12
26,13,13
27,15,15
1,1,1
6,2,2
12,3,3
15,4,4
16,5,5
17,6,6
18,7,7
22,8,8
23,9,9
24,10,10
25,12,12
26,13,13
27,15,15
4,1,1
5,2,2
6,3,3
7,4,4
8,5,5
13,6,6
19,7,7
22,8,8
23,9,9
24,10,10
25,12,12
27,13,13
1,1,1
7,2,2
8,3,3
13,4,4
16,5,5
20,6,6
21,7,7
22,8,8
23,9,9
24,10,10
25,12,12
26,13,13
27,15,15
1,1,1
7,2,2
8,3,3
12,4,4
17,5,5
18,6,6
19,7,7
20,8,8
23,9,9
24,10,10
25,12,12
27,13,13
1,1,1
7,2,2
8,3,3
9,4,4
12,5,5
13,6,6
14,7,7
19,8,8
23,9,9
24,10,10
26,12,12
27,13,13
1,1,1
4,2,2
5,3,3
6,4,4
7,5,5
8,6,6
13,7,7
19,8,8
23,9,9
24,10,10
26,12,12
27,13,13
1,1,1
2,2,2
3,3,3
7,4,4
13,5,5
14,6,6
19,7,7
20,8,8
23,9,9
24,10,10
25,12,12
27,13,13
1,1,1
6,2,2
10,3,3
11,4,4
12,5,5
13,6,6
17,7,7
18,8,8
19,9,9
20,10,10
27,12,12
1,1,1
5,2,2
10,3,3
11,4,4
12,5,5
13,6,6
17,7,7
18,8,8
19,9,9
20,10,10
27,12,12
1,1,1
2,2,2
3,3,3
7,4,4
12,5,5
13,6,6
14,7,7
15,8,8
16,9,9
20,10,10
27,12,12
1,1,1
2,2,2
7,3,3
8,4,4
12,5,5
13,6,6
14,7,7
15,8,8
19,9,9
20,10,10
27,12,12
1,1,1
2,2,2
6,3,3
7,4,4
8,5,5
12,6,6
17,7,7
18,8,8
19,9,9
20,10,10
27,12,12
1,1,1
2,2,2
3,3,3
7,4,4
11,5,5
12,6,6
17,7,7
18,8,8
19,9,9
20,10,10
27,12,12
1,1,1
5,2,2
6,3,3
11,4,4
12,5,5
13,6,6
17,7,7
18,8,8
19,9,9
20,10,10
27,12,12
1,1,1
2,2,2
3,3,3
7,4,4
11,5,5
12,6,6
17,7,7
18,8,8
19,9,9
20,10,10
27,12,12
1,1,1
2,2,2
3,3,3
4,4,4
9,5,5
10,6,6
11,7,7
12,8,8
16,9,9
20,10,10
27,12,12
1,1,1
2,2,2
3,3,3
4,4,4
5,5,5
9,6,6
10,7,7
15,8,8
16,9,9
20,10,10
27,12,12
1,1,1
2,2,2
6,3,3
7,4,4
9,5,5
13,6,6
17,7,7
18,8,8
20,9,9
21,10,10
22,11,11
23,12,12
25,14,14
27,15,15
1,1,1
2,2,2
4,3,3
5,4,4
6,5,5
7,6,6
8,7,7
9,8,8
11,9,9
15,10,10
19,11,11
23,12,12
25,14,14
27,15,15
1,1,1
2,2,2
6,3,3
7,4,4
8,5,5
9,6,6
13,7,7
15,8,8
19,9,9
21,10,10
22,11,11
23,12,12
24,14,14
26,15,15
27,17,17
1,1,1
5,2,2
6,3,3
7,4,4
8,5,5
12,6,6
13,7,7
14,8,8
15,9,9
17,10,10
19,11,11
23,12,12
25,14,14
26,15,15
27,17,17
1,1,1
2,2,2
3,3,3
7,4,4
9,5,5
13,6,6
14,7,7
18,8,8
19,9,9
21,10,10
22,11,11
23,12,12
25,14,14
26,15,15
27,17,17
1,1,1
2,2,2
3,3,3
5,4,4
9,5,5
10,6,6
14,7,7
15,8,8
17,9,9
18,10,10
19,11,11
23,12,12
25,14,14
26,15,15
27,17,17
1,1,1
2,2,2
4,3,3
6,4,4
7,5,5
11,6,6
15,7,7
19,8,8
20,9,9
21,10,10
22,11,11
23,12,12
25,14,14
27,15,15
1,1,1
5,2,2
9,3,3
11,4,4
12,5,5
13,6,6
14,7,7
16,8,8
17,9,9
21,10,10
22,11,11
23,12,12
24,14,14
26,15,15
27,17,17
1,1,1
2,2,2
3,3,3
7,4,4
9,5,5
11,6,6
12,7,7
13,8,8
14,9,9
15,10,10
19,11,11
23,12,12
25,14,14
26,15,15
27,17,17
1,1,1
3,2,2
4,3,3
8,4,4
10,5,5
14,6,6
15,7,7
16,8,8
17,9,9
18,10,10
19,11,11
23,12,12
25,14,14
27,15,15
1,1,1
5,2,2
6,3,3
10,4,4
11,5,5
12,6,6
13,7,7
14,8,8
16,9,9
22,10,10
23,12,12
26,13,13
27,15,15
1,1,1
2,2,2
3,3,3
4,4,4
5,5,5
9,6,6
11,7,7
17,8,8
21,9,9
22,10,10
26,12,12
27,13,13
1,1,1
2,2,2
3,3,3
5,4,4
6,5,5
7,6,6
8,7,7
14,8,8
18,9,9
22,10,10
26,12,12
27,13,13
1,1,1
7,2,2
8,3,3
12,4,4
13,5,5
15,6,6
19,7,7
20,8,8
21,9,9
22,10,10
23,12,12
26,13,13
27,15,15
1,1,1
2,2,2
3,3,3
5,4,4
9,5,5
15,6,6
16,7,7
17,8,8
21,9,9
22,10,10
26,12,12
27,13,13
1,1,1
7,2,2
8,3,3
10,4,4
14,5,5
15,6,6
16,7,7
17,8,8
18,9,9
22,10,10
26,12,12
27,13,13
1,1,1
5,2,2
11,3,3
12,4,4
13,5,5
14,6,6
18,7,7
20,8,8
21,9,9
22,10,10
23,12,12
27,13,13
1,1,1
2,2,2
3,3,3
4,4,4
5,5,5
9,6,6
13,7,7
19,8,8
20,9,9
22,10,10
26,12,12
27,13,13
1,1,1
5,2,2
6,3,3
7,4,4
8,5,5
14,6,6
18,7,7
19,8,8
21,9,9
22,10,10
23,12,12
26,13,13
27,15,15
1,1,1
2,2,2
8,3,3
9,4,4
10,5,5
14,6,6
18,7,7
19,8,8
20,9,9
22,10,10
23,12,12
27,13,13
1,1,1
2,2,2
3,3,3
7,4,4
8,5,5
10,6,6
15,7,7
19,8,8
20,9,9
21,10,10
27,12,12
1,1,1
2,2,2
3,3,3
4,4,4
5,5,5
6,6,6
11,7,7
13,8,8
17,9,9
21,10,10
27,12,12
1,1,1
2,2,2
7,3,3
11,4,4
13,5,5
17,6,6
18,7,7
19,8,8
20,9,9
21,10,10
27,12,12
1,1,1
2,2,2
6,3,3
7,4,4
8,5,5
10,6,6
11,7,7
12,8,8
16,9,9
21,10,10
27,12,12
1,1,1
2,2,2
3,3,3
4,4,4
6,5,5
7,6,6
11,7,7
12,8,8
17,9,9
21,10,10
27,12,12
1,1,1
2,2,2
3,3,3
8,4,4
9,5,5
11,6,6
15,7,7
16,8,8
20,9,9
21,10,10
27,12,12
1,1,1
5,2,2
6,3,3
10,4,4
12,5,5
13,6,6
14,7,7
15,8,8
16,9,9
21,10,10
27,12,12
1,1,1
2,2,2
6,3,3
7,4,4
8,5,5
12,6,6
14,7,7
15,8,8
16,9,9
21,10,10
27,12,12
1,1,1
2,2,2
6,3,3
7,4,4
8,5,5
9,6,6
10,7,7
14,8,8
16,9,9
21,10,10
27,12,12
1,1,1
2,2,2
7,3,3
8,4,4
9,5,5
10,6,6
12,7,7
13,8,8
17,9,9
21,10,10
27,12,12
