2,2,3,60.0,0.0
3,3,7,60.0,0.0
4,4,8,60.0,0.0
5,5,9,60.0,0.0
6,6,10,60.0,0.0
7,7,11,60.0,0.0
8,8,12,60.0,0.0
9,9,13,60.0,0.0
10,10,18,96.6667,0.9295774647887324
11,11,22,96.6667,0.9295774647887324
13,13,27,100.0,1.0
2,2,7,80.0,0.5588235294117648
3,3,13,80.0,0.5454545454545455
4,4,14,80.0,0.5454545454545455
5,5,15,80.0,0.5454545454545455
6,6,16,80.0,0.5454545454545455
7,7,17,80.0,0.5454545454545455
8,8,18,80.0,0.5454545454545455
9,9,19,80.0,0.5454545454545455
10,10,24,80.0,0.5454545454545455
11,11,25,80.0,0.5454545454545455
12,12,26,80.0,0.5454545454545455
14,14,27,90.0,0.7887323943661972
2,2,10,66.6667,0.3902439024390244
3,3,11,80.0,0.6153846153846155
4,4,17,80.0,0.6153846153846155
5,5,18,80.0,0.6153846153846155
6,6,19,80.0,0.6153846153846155
7,7,23,80.0,0.6153846153846155
8,8,25,80.0,0.6153846153846155
10,10,27,66.6667,0.3243243243243242
2,2,10,66.6667,0.3902439024390244
3,3,11,80.0,0.6153846153846155
4,4,17,80.0,0.6153846153846155
5,5,18,80.0,0.6153846153846155
6,6,19,80.0,0.6153846153846155
7,7,23,80.0,0.6153846153846155
8,8,25,80.0,0.6153846153846155
10,10,27,66.6667,0.3243243243243242
2,2,9,80.0,0.6153846153846155
3,3,10,80.0,0.6153846153846155
4,4,11,80.0,0.6153846153846155
5,5,12,80.0,0.6153846153846155
6,6,17,80.0,0.6153846153846155
7,7,19,80.0,0.6153846153846155
8,8,24,80.0,0.6153846153846155
10,10,27,80.0,0.6153846153846155
2,2,7,80.0,0.0
3,3,11,80.0,0.0
4,4,13,80.0,0.16666666666666682
5,5,19,80.0,0.0
6,6,25,80.0,0.0
7,7,26,80.0,0.0
9,9,27,80.0,0.0
2,2,9,80.0,0.0
3,3,10,76.6667,-0.0606060606060605
4,4,15,80.0,0.0
5,5,16,80.0,0.0
6,6,17,80.0,0.0
7,7,19,80.0,0.0
8,8,24,80.0,0.0
10,10,27,83.3333,0.35897435897435914
2,2,6,80.0,0.0
3,3,11,80.0,0.0
4,4,12,80.0,0.0
5,5,16,80.0,0.0
6,6,18,80.0,0.0
7,7,23,83.3333,0.24242424242424251
9,9,27,100.0,1.0
2,2,7,86.6667,0.523809523809524
3,3,12,86.6667,0.523809523809524
4,4,13,86.6667,0.523809523809524
5,5,18,80.0,0.0
6,6,19,80.0,0.0
7,7,23,83.3333,0.24242424242424251
9,9,27,100.0,1.0
2,2,7,60.0,0.28571428571428564
3,3,12,60.0,0.28571428571428564
4,4,13,60.0,0.28571428571428564
5,5,14,60.0,0.28571428571428564
6,6,15,60.0,0.28571428571428564
7,7,16,60.0,0.28571428571428564
8,8,21,80.0,0.6153846153846155
9,9,26,80.0,0.6153846153846155
11,11,27,80.0,0.6153846153846155
4,4,14,100.0,1.0
5,5,17,100.0,1.0
6,6,19,100.0,1.0
7,7,24,100.0,1.0
9,9,27,100.0,1.0
2,2,9,20.0,0.0
3,3,11,20.0,0.0
4,4,12,20.0,0.0
5,5,13,20.0,0.0
6,6,18,20.0,0.0
7,7,19,20.0,0.0
8,8,24,73.3333,0.39393939393939376
10,10,27,90.0,0.7058823529411765
2,2,6,60.0,0.0
3,3,7,60.0,0.0
4,4,11,60.0,0.0
5,5,12,60.0,0.0
6,6,13,60.0,0.0
7,7,14,60.0,0.0
8,8,15,60.0,0.0
9,9,16,60.0,0.0
10,10,17,60.0,0.0
11,11,22,96.6667,0.9295774647887324
13,13,27,100.0,1.0
2,2,6,20.0,0.0
3,3,11,80.0,0.16666666666666682
4,4,12,80.0,0.16666666666666682
5,5,13,80.0,0.16666666666666682
6,6,15,80.0,0.0
7,7,20,80.0,0.0
8,8,24,80.0,0.0
10,10,27,83.3333,0.35897435897435914
2,2,7,80.0,0.0
3,3,11,80.0,0.0
4,4,13,80.0,0.16666666666666682
5,5,19,80.0,0.0
6,6,25,80.0,0.0
7,7,26,80.0,0.0
9,9,27,80.0,0.0
3,3,7,20.0,0.0
4,4,8,20.0,0.0
5,5,13,20.0,0.0
6,6,14,20.0,0.0
7,7,19,73.3333,0.39393939393939376
8,8,24,73.3333,0.39393939393939376
10,10,27,90.0,0.7058823529411765
2,2,6,40.0,0.0
3,3,7,40.0,0.0
4,4,8,40.0,0.0
5,5,9,40.0,0.0
6,6,14,76.6667,0.5569620253164559
7,7,19,76.6667,0.5569620253164559
8,8,23,83.3333,0.6753246753246753
9,9,26,80.0,0.6153846153846155
11,11,27,80.0,0.6153846153846155
2,2,6,40.0,0.0
3,3,7,40.0,0.0
4,4,8,40.0,0.0
5,5,9,40.0,0.0
6,6,14,76.6667,0.5569620253164559
7,7,19,76.6667,0.5569620253164559
8,8,23,83.3333,0.6753246753246753
9,9,26,80.0,0.6153846153846155
11,11,27,80.0,0.6153846153846155
2,2,7,80.0,0.0
3,3,11,80.0,0.0
4,4,13,80.0,0.16666666666666682
5,5,19,80.0,0.0
6,6,25,80.0,0.0
7,7,26,80.0,0.0
9,9,27,80.0,0.0
2,2,3,60.0,0.0
3,3,7,60.0,0.0
4,4,8,60.0,0.0
5,5,9,60.0,0.0
6,6,10,60.0,0.0
7,7,11,60.0,0.0
8,8,12,60.0,0.0
9,9,13,60.0,0.0
10,10,18,96.6667,0.9295774647887324
11,11,22,96.6667,0.9295774647887324
13,13,27,100.0,1.0
2,2,9,20.0,0.0
3,3,11,20.0,0.0
4,4,12,20.0,0.0
5,5,13,20.0,0.0
6,6,18,20.0,0.0
7,7,19,20.0,0.0
8,8,24,73.3333,0.39393939393939376
10,10,27,90.0,0.7058823529411765
3,3,7,20.0,0.0
4,4,8,20.0,0.0
5,5,13,20.0,0.0
6,6,14,20.0,0.0
7,7,19,73.3333,0.39393939393939376
8,8,24,73.3333,0.39393939393939376
10,10,27,90.0,0.7058823529411765
2,2,6,60.0,0.0
3,3,7,60.0,0.0
4,4,11,60.0,0.0
5,5,12,60.0,0.0
6,6,13,60.0,0.0
7,7,14,60.0,0.0
8,8,15,60.0,0.0
9,9,16,60.0,0.0
10,10,17,60.0,0.0
11,11,22,96.6667,0.9295774647887324
13,13,27,100.0,1.0
2,2,9,86.6667,0.7297297297297297
3,3,14,80.0,0.6153846153846155
4,4,15,80.0,0.6153846153846155
5,5,16,80.0,0.6153846153846155
6,6,17,80.0,0.6153846153846155
7,7,22,80.0,0.6153846153846155
8,8,24,80.0,0.6153846153846155
10,10,27,80.0,0.6153846153846155
2,2,10,66.6667,0.3902439024390244
3,3,11,80.0,0.6153846153846155
4,4,17,80.0,0.6153846153846155
5,5,18,80.0,0.6153846153846155
6,6,19,80.0,0.6153846153846155
7,7,23,80.0,0.6153846153846155
8,8,25,80.0,0.6153846153846155
10,10,27,66.6667,0.3243243243243242
2,2,9,86.6667,0.7297297297297297
3,3,14,80.0,0.6153846153846155
4,4,15,80.0,0.6153846153846155
5,5,16,80.0,0.6153846153846155
6,6,17,80.0,0.6153846153846155
7,7,22,80.0,0.6153846153846155
8,8,24,80.0,0.6153846153846155
10,10,27,80.0,0.6153846153846155
2,2,7,80.0,0.5588235294117648
3,3,13,80.0,0.5454545454545455
4,4,14,80.0,0.5454545454545455
5,5,15,80.0,0.5454545454545455
6,6,16,80.0,0.5454545454545455
7,7,17,80.0,0.5454545454545455
8,8,18,80.0,0.5454545454545455
9,9,19,80.0,0.5454545454545455
10,10,24,80.0,0.5454545454545455
11,11,25,80.0,0.5454545454545455
12,12,26,80.0,0.5454545454545455
14,14,27,90.0,0.7887323943661972
4,4,14,100.0,1.0
5,5,17,100.0,1.0
6,6,19,100.0,1.0
7,7,24,100.0,1.0
9,9,27,100.0,1.0
2,2,7,40.0,0.0
3,3,8,80.0,0.5454545454545455
4,4,9,80.0,0.5454545454545455
5,5,10,80.0,0.5454545454545455
6,6,11,80.0,0.5454545454545455
7,7,12,80.0,0.5454545454545455
8,8,17,80.0,0.5454545454545455
9,9,18,80.0,0.5454545454545455
10,10,19,80.0,0.5454545454545455
11,11,21,80.0,0.5454545454545455
12,12,26,80.0,0.5454545454545455
14,14,27,90.0,0.7887323943661972
2,2,3,60.0,0.0
3,3,7,60.0,0.0
4,4,8,60.0,0.0
5,5,9,60.0,0.0
6,6,10,60.0,0.0
7,7,11,60.0,0.0
8,8,12,60.0,0.0
9,9,13,60.0,0.0
10,10,18,96.6667,0.9295774647887324
11,11,22,96.6667,0.9295774647887324
13,13,27,100.0,1.0
2,2,6,80.0,0.0
3,3,11,80.0,0.0
4,4,12,80.0,0.0
5,5,16,80.0,0.0
6,6,18,80.0,0.0
7,7,23,83.3333,0.24242424242424251
9,9,27,100.0,1.0
2,2,7,86.6667,0.523809523809524
3,3,12,86.6667,0.523809523809524
4,4,13,86.6667,0.523809523809524
5,5,18,80.0,0.0
6,6,19,80.0,0.0
7,7,23,83.3333,0.24242424242424251
9,9,27,100.0,1.0
2,2,6,40.0,0.0
3,3,7,40.0,0.0
4,4,8,40.0,0.0
5,5,9,40.0,0.0
6,6,14,76.6667,0.5569620253164559
7,7,19,76.6667,0.5569620253164559
8,8,23,83.3333,0.6753246753246753
9,9,26,80.0,0.6153846153846155
11,11,27,80.0,0.6153846153846155
2,2,7,60.0,0.0
3,3,13,80.0,0.6153846153846155
4,4,14,80.0,0.6153846153846155
5,5,15,80.0,0.6153846153846155
6,6,19,80.0,0.6153846153846155
7,7,21,80.0,0.6153846153846155
8,8,25,80.0,0.6153846153846155
10,10,27,66.6667,0.3243243243243242
2,2,7,100.0,1.0
3,3,12,96.6667,0.888888888888889
4,4,13,96.6667,0.888888888888889
5,5,18,96.6667,0.888888888888889
6,6,21,100.0,1.0
7,7,24,100.0,1.0
9,9,27,100.0,1.0
2,2,7,60.0,0.28571428571428564
3,3,12,60.0,0.28571428571428564
4,4,13,60.0,0.28571428571428564
5,5,14,60.0,0.28571428571428564
6,6,15,60.0,0.28571428571428564
7,7,16,60.0,0.28571428571428564
8,8,21,80.0,0.6153846153846155
9,9,26,80.0,0.6153846153846155
11,11,27,80.0,0.6153846153846155
2,2,9,20.0,0.0
3,3,11,20.0,0.0
4,4,12,20.0,0.0
5,5,13,20.0,0.0
6,6,18,20.0,0.0
7,7,19,20.0,0.0
8,8,24,73.3333,0.39393939393939376
10,10,27,90.0,0.7058823529411765
2,2,9,80.0,0.0
3,3,10,76.6667,-0.0606060606060605
4,4,15,80.0,0.0
5,5,16,80.0,0.0
6,6,17,80.0,0.0
7,7,19,80.0,0.0
8,8,24,80.0,0.0
10,10,27,83.3333,0.35897435897435914
2,2,6,40.0,0.0
3,3,7,40.0,0.0
4,4,8,40.0,0.0
5,5,9,40.0,0.0
6,6,14,76.6667,0.5569620253164559
7,7,19,76.6667,0.5569620253164559
8,8,23,83.3333,0.6753246753246753
9,9,26,80.0,0.6153846153846155
11,11,27,80.0,0.6153846153846155
2,2,10,66.6667,0.3902439024390244
3,3,11,80.0,0.6153846153846155
4,4,17,80.0,0.6153846153846155
5,5,18,80.0,0.6153846153846155
6,6,19,80.0,0.6153846153846155
7,7,23,80.0,0.6153846153846155
8,8,25,80.0,0.6153846153846155
10,10,27,66.6667,0.3243243243243242
2,2,9,86.6667,0.7297297297297297
3,3,14,80.0,0.6153846153846155
4,4,15,80.0,0.6153846153846155
5,5,16,80.0,0.6153846153846155
6,6,17,80.0,0.6153846153846155
7,7,22,80.0,0.6153846153846155
8,8,24,80.0,0.6153846153846155
10,10,27,80.0,0.6153846153846155
2,2,6,40.0,0.0
3,3,7,40.0,0.0
4,4,8,40.0,0.0
5,5,9,40.0,0.0
6,6,14,76.6667,0.5569620253164559
7,7,19,76.6667,0.5569620253164559
8,8,23,83.3333,0.6753246753246753
9,9,26,80.0,0.6153846153846155
11,11,27,80.0,0.6153846153846155
2,2,7,60.0,0.28571428571428564
3,3,12,60.0,0.28571428571428564
4,4,13,60.0,0.28571428571428564
5,5,14,60.0,0.28571428571428564
6,6,15,60.0,0.28571428571428564
7,7,16,60.0,0.28571428571428564
8,8,21,80.0,0.6153846153846155
9,9,26,80.0,0.6153846153846155
11,11,27,80.0,0.6153846153846155
2,2,7,100.0,1.0
3,3,12,96.6667,0.888888888888889
4,4,13,96.6667,0.888888888888889
5,5,18,96.6667,0.888888888888889
6,6,21,100.0,1.0
7,7,24,100.0,1.0
9,9,27,100.0,1.0
3,3,7,20.0,0.0
4,4,8,20.0,0.0
5,5,13,20.0,0.0
6,6,14,20.0,0.0
7,7,19,73.3333,0.39393939393939376
8,8,24,73.3333,0.39393939393939376
10,10,27,90.0,0.7058823529411765
2,2,7,100.0,1.0
3,3,12,96.6667,0.888888888888889
4,4,13,96.6667,0.888888888888889
5,5,18,96.6667,0.888888888888889
6,6,21,100.0,1.0
7,7,24,100.0,1.0
9,9,27,100.0,1.0
2,2,6,20.0,0.0
3,3,11,80.0,0.16666666666666682
4,4,12,80.0,0.16666666666666682
5,5,13,80.0,0.16666666666666682
6,6,15,80.0,0.0
7,7,20,80.0,0.0
8,8,24,80.0,0.0
10,10,27,83.3333,0.35897435897435914
2,2,7,80.0,0.5588235294117648
3,3,13,80.0,0.5454545454545455
4,4,14,80.0,0.5454545454545455
5,5,15,80.0,0.5454545454545455
6,6,16,80.0,0.5454545454545455
7,7,17,80.0,0.5454545454545455
8,8,18,80.0,0.5454545454545455
9,9,19,80.0,0.5454545454545455
10,10,24,80.0,0.5454545454545455
11,11,25,80.0,0.5454545454545455
12,12,26,80.0,0.5454545454545455
14,14,27,90.0,0.7887323943661972
3,3,12,80.0,0.0
4,4,18,80.0,0.0
5,5,19,80.0,0.0
6,6,22,80.0,0.0
7,7,26,80.0,0.0
9,9,27,80.0,0.0
4,4,14,100.0,1.0
5,5,17,100.0,1.0
6,6,19,100.0,1.0
7,7,24,100.0,1.0
9,9,27,100.0,1.0
2,2,7,100.0,1.0
3,3,12,96.6667,0.888888888888889
4,4,13,96.6667,0.888888888888889
5,5,18,96.6667,0.888888888888889
6,6,21,100.0,1.0
7,7,24,100.0,1.0
9,9,27,100.0,1.0
2,2,9,86.6667,0.7297297297297297
3,3,14,80.0,0.6153846153846155
4,4,15,80.0,0.6153846153846155
5,5,16,80.0,0.6153846153846155
6,6,17,80.0,0.6153846153846155
7,7,22,80.0,0.6153846153846155
8,8,24,80.0,0.6153846153846155
10,10,27,80.0,0.6153846153846155
2,2,7,80.0,0.5588235294117648
3,3,13,80.0,0.5454545454545455
4,4,14,80.0,0.5454545454545455
5,5,15,80.0,0.5454545454545455
6,6,16,80.0,0.5454545454545455
7,7,17,80.0,0.5454545454545455
8,8,18,80.0,0.5454545454545455
9,9,19,80.0,0.5454545454545455
10,10,24,80.0,0.5454545454545455
11,11,25,80.0,0.5454545454545455
12,12,26,80.0,0.5454545454545455
14,14,27,90.0,0.7887323943661972
2,2,7,60.0,0.0
3,3,13,80.0,0.6153846153846155
4,4,14,80.0,0.6153846153846155
5,5,15,80.0,0.6153846153846155
6,6,19,80.0,0.6153846153846155
7,7,21,80.0,0.6153846153846155
8,8,25,80.0,0.6153846153846155
10,10,27,66.6667,0.3243243243243242
2,2,7,80.0,0.5588235294117648
3,3,13,80.0,0.5454545454545455
4,4,14,80.0,0.5454545454545455
5,5,15,80.0,0.5454545454545455
6,6,16,80.0,0.5454545454545455
7,7,17,80.0,0.5454545454545455
8,8,18,80.0,0.5454545454545455
9,9,19,80.0,0.5454545454545455
10,10,24,80.0,0.5454545454545455
11,11,25,80.0,0.5454545454545455
12,12,26,80.0,0.5454545454545455
14,14,27,90.0,0.7887323943661972
2,2,6,40.0,0.0
3,3,7,40.0,0.0
4,4,8,40.0,0.0
5,5,9,40.0,0.0
6,6,14,76.6667,0.5569620253164559
7,7,19,76.6667,0.5569620253164559
8,8,23,83.3333,0.6753246753246753
9,9,26,80.0,0.6153846153846155
11,11,27,80.0,0.6153846153846155
2,2,9,80.0,0.6153846153846155
3,3,10,80.0,0.6153846153846155
4,4,11,80.0,0.6153846153846155
5,5,12,80.0,0.6153846153846155
6,6,17,80.0,0.6153846153846155
7,7,19,80.0,0.6153846153846155
8,8,24,80.0,0.6153846153846155
10,10,27,80.0,0.6153846153846155
2,2,6,20.0,0.0
3,3,11,80.0,0.16666666666666682
4,4,12,80.0,0.16666666666666682
5,5,13,80.0,0.16666666666666682
6,6,15,80.0,0.0
7,7,20,80.0,0.0
8,8,24,80.0,0.0
10,10,27,83.3333,0.35897435897435914
2,2,6,80.0,0.0
3,3,11,80.0,0.0
4,4,12,80.0,0.0
5,5,16,80.0,0.0
6,6,18,80.0,0.0
7,7,23,83.3333,0.24242424242424251
9,9,27,100.0,1.0
2,2,6,60.0,0.0
3,3,7,60.0,0.0
4,4,11,60.0,0.0
5,5,12,60.0,0.0
6,6,13,60.0,0.0
7,7,14,60.0,0.0
8,8,15,60.0,0.0
9,9,16,60.0,0.0
10,10,17,60.0,0.0
11,11,22,96.6667,0.9295774647887324
13,13,27,100.0,1.0
2,2,7,80.0,0.0
3,3,11,80.0,0.0
4,4,13,80.0,0.16666666666666682
5,5,19,80.0,0.0
6,6,25,80.0,0.0
7,7,26,80.0,0.0
9,9,27,80.0,0.0
2,2,7,86.6667,0.523809523809524
3,3,12,86.6667,0.523809523809524
4,4,13,86.6667,0.523809523809524
5,5,18,80.0,0.0
6,6,19,80.0,0.0
7,7,23,83.3333,0.24242424242424251
9,9,27,100.0,1.0
4,4,14,100.0,1.0
5,5,17,100.0,1.0
6,6,19,100.0,1.0
7,7,24,100.0,1.0
9,9,27,100.0,1.0
2,2,9,20.0,0.0
3,3,11,20.0,0.0
4,4,12,20.0,0.0
5,5,13,20.0,0.0
6,6,18,20.0,0.0
7,7,19,20.0,0.0
8,8,24,73.3333,0.39393939393939376
10,10,27,90.0,0.7058823529411765
2,2,6,40.0,0.0
3,3,7,40.0,0.0
4,4,8,40.0,0.0
5,5,9,40.0,0.0
6,6,14,76.6667,0.5569620253164559
7,7,19,76.6667,0.5569620253164559
8,8,23,83.3333,0.6753246753246753
9,9,26,80.0,0.6153846153846155
11,11,27,80.0,0.6153846153846155
2,2,9,80.0,0.0
3,3,10,76.6667,-0.0606060606060605
4,4,15,80.0,0.0
5,5,16,80.0,0.0
6,6,17,80.0,0.0
7,7,19,80.0,0.0
8,8,24,80.0,0.0
10,10,27,83.3333,0.35897435897435914
2,2,10,66.6667,0.3902439024390244
3,3,11,80.0,0.6153846153846155
4,4,17,80.0,0.6153846153846155
5,5,18,80.0,0.6153846153846155
6,6,19,80.0,0.6153846153846155
7,7,23,80.0,0.6153846153846155
8,8,25,80.0,0.6153846153846155
10,10,27,66.6667,0.3243243243243242
2,2,9,80.0,0.6153846153846155
3,3,10,80.0,0.6153846153846155
4,4,11,80.0,0.6153846153846155
5,5,12,80.0,0.6153846153846155
6,6,17,80.0,0.6153846153846155
7,7,19,80.0,0.6153846153846155
8,8,24,80.0,0.6153846153846155
10,10,27,80.0,0.6153846153846155
2,2,7,60.0,0.0
3,3,13,80.0,0.6153846153846155
4,4,14,80.0,0.6153846153846155
5,5,15,80.0,0.6153846153846155
6,6,19,80.0,0.6153846153846155
7,7,21,80.0,0.6153846153846155
8,8,25,80.0,0.6153846153846155
10,10,27,66.6667,0.3243243243243242
2,2,9,86.6667,0.7297297297297297
3,3,14,80.0,0.6153846153846155
4,4,15,80.0,0.6153846153846155
5,5,16,80.0,0.6153846153846155
6,6,17,80.0,0.6153846153846155
7,7,22,80.0,0.6153846153846155
8,8,24,80.0,0.6153846153846155
10,10,27,80.0,0.6153846153846155
2,2,6,20.0,0.0
3,3,11,80.0,0.16666666666666682
4,4,12,80.0,0.16666666666666682
5,5,13,80.0,0.16666666666666682
6,6,15,80.0,0.0
7,7,20,80.0,0.0
8,8,24,80.0,0.0
10,10,27,83.3333,0.35897435897435914
